Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788737904,5,,Aggregated,34.300000,0.000000,17,18,19,20,26,41,46,48,57,60,60,2074,0,17,19.292974814488808,11.972618056461215,60.35043206065893,105.6108968177435
1788737905,5,,Aggregated,34.400000,0.000000,17,18,19,20,26,41,46,48,57,60,60,2108,0,17,19.32098316455055,11.972618056461215,60.35043206065893,105.55455407969639
1788737906,5,,Aggregated,34.700000,0.000000,17,18,19,20,27,41,46,48,57,60,60,2147,0,17,19.35240153115265,11.972618056461215,60.35043206065893,105.5742897065673
1788737907,5,,Aggregated,34.500000,0.000000,17,18,19,20,27,42,46,48,57,60,60,2182,0,17,19.4265907022105,11.972618056461215,60.35043206065893,105.73648029330889
1788737908,5,,Aggregated,35.000000,0.000000,17,18,19,20,28,42,46,49,57,60,60,2214,0,17,19.485782697509094,11.972618056461215,60.35043206065893,105.82113821138212
1788737909,5,,Aggregated,34.800000,0.000000,17,18,19,20,28,42,46,49,58,60,60,2250,0,17,19.508733518939053,11.972618056461215,60.35043206065893,105.80355555555556
1788737910,5,,Aggregated,34.800000,0.000000,17,18,19,20,28,42,47,49,58,60,60,2285,0,17,19.545850750869974,11.972618056461215,60.35043206065893,105.83107221006564
1788737911,5,,Aggregated,34.400000,0.000000,17,18,19,20,28,42,46,49,58,60,60,2318,0,17,19.54688873653066,11.972618056461215,60.35043206065893,105.78343399482313
1788737912,5,,Aggregated,34.400000,0.000000,17,18,19,20,28,42,46,49,58,60,60,2352,0,17,19.558030636890056,11.972618056461215,60.35043206065893,105.77295918367346
1788737913,5,,Aggregated,34.500000,0.000000,17,18,19,20,28,42,47,49,58,60,60,2388,0,17,19.576609205069268,11.972618056461215,60.35043206065893,105.75670016750419
1788737914,5,,Aggregated,34.500000,0.000000,17,18,20,20,27,42,46,49,58,60,60,2426,0,17,19.577424738979197,11.972618056461215,60.35043206065893,105.68961253091508
1788737915,5,,Aggregated,34.600000,0.000000,17,18,20,20,27,42,46,49,58,60,60,2463,0,17,19.586449440313828,11.972618056461215,60.35043206065893,105.67235079171742
1788737916,5,,Aggregated,34.900000,0.000000,17,18,20,20,27,42,46,49,58,60,60,2499,0,17,19.590051408216848,11.972618056461215,60.35043206065893,105.61944777911164
1788737917,5,,Aggregated,35.300000,0.000000,17,18,19,20,27,42,47,49,58,60,60,2534,0,17,19.596461579534385,11.972618056461215,60.35043206065893,105.60734017363852
1788737918,5,,Aggregated,35.200000,0.000000,17,18,20,20,26,42,47,49,58,60,60,2572,0,17,19.58908008193904,11.972618056461215,60.35043206065893,105.51438569206843
1788737919,5,,Aggregated,35.400000,0.000000,17,18,20,20,26,42,47,49,58,60,60,2605,0,17,19.590750008270916,11.972618056461215,60.35043206065893,105.47677543186181
1788737920,5,,Aggregated,35.600000,0.000000,17,18,20,20,26,42,47,49,58,60,60,2641,0,17,19.620715856653685,11.972618056461215,60.35043206065893,105.50246118894358
1788737921,5,,Aggregated,35.600000,0.000000,17,18,20,20,26,42,47,49,58,60,60,2678,0,17,19.629999611469692,11.972618056461215,60.35043206065893,105.4891710231516
1788737922,5,,Aggregated,35.500000,0.000000,17,18,20,20,26,42,46,49,58,60,60,2712,0,17,19.639197388161826,11.972618056461215,60.35043206065893,105.51806784660766
1788737923,5,,Aggregated,35.900000,0.000000,17,18,20,20,26,42,46,49,58,60,60,2749,0,17,19.62616661027895,11.972618056461215,60.35043206065893,105.43506729719898
1788737924,5,,Aggregated,35.800000,0.000000,17,18,20,20,26,42,46,49,58,60,60,2784,0,17,19.661915848241055,11.972618056461215,60.35043206065893,105.49497126436782
1788737925,5,,Aggregated,35.800000,0.000000,17,18,20,20,26,42,46,49,58,60,60,2819,0,17,19.659420050420962,11.972618056461215,60.35043206065893,105.45335225257183
1788737926,5,,Aggregated,35.800000,0.000000,17,18,20,20,26,42,46,49,58,60,60,2850,0,17,19.648105966727854,11.972618056461215,60.35043206065893,105.39228070175439
1788737927,5,,Aggregated,35.400000,0.000000,17,18,20,20,26,42,47,49,58,60,60,2889,0,17,19.64910104116454,11.972618056461215,60.35043206065893,105.34164070612668
1788737928,5,,Aggregated,35.200000,0.000000,17,18,20,20,26,42,46,49,58,60,60,2925,0,17,19.655292496148846,11.972618056461215,60.35043206065893,105.3340170940171
1788737929,7,,Aggregated,35.200000,0.000000,17,18,20,20,26,42,47,49,58,60,60,2979,0,17,19.66570880657644,11.972618056461215,60.35043206065893,105.24236320913059
1788737930,9,,Aggregated,35.200000,0.000000,17,18,20,20,26,42,47,49,57,60,60,3043,0,17,19.714218724321302,11.972618056461215,60.35043206065893,105.28162997042392
1788737931,10,,Aggregated,36.800000,0.000000,17,19,20,21,26,42,47,49,58,71,71,3108,0,17,19.788905307204082,11.972618056461215,71.3081369176507,105.28732303732303
1788737932,10,,Aggregated,39.400000,0.000000,17,19,20,21,26,42,47,50,60,71,71,3181,0,17,19.876479482657665,11.972618056461215,71.3081369176507,105.2684690348947
1788737933,10,,Aggregated,42.400000,0.000000,17,19,20,21,27,43,47,50,60,71,71,3247,0,17,20.007765890994865,11.972618056461215,71.3081369176507,105.35694487218971
1788737934,10,,Aggregated,45.900000,0.000000,17,19,20,21,27,43,48,51,60,71,71,3309,0,17,20.098800864309887,11.972618056461215,71.3081369176507,105.42308854638864
1788737935,10,,Aggregated,48.700000,0.000000,18,19,20,21,28,43,48,52,64,71,71,3377,0,18,20.2246154380644,11.972618056461215,71.3081369176507,105.58276576843352
1788737936,10,,Aggregated,51.700000,0.000000,18,19,20,21,28,43,48,51,64,71,71,3439,0,18,20.239471819906598,11.972618056461215,71.3081369176507,105.53184065135214
